ablaut.class,german.verb,german.simple.past,german.past.participle,english.verb,english.simple.past,english.past.participle
Ia,bleiben,blieb,geblieben,belive,,
Ia,gedeihen,gedieh,gediehen,thee,,
Ia,leihen,lieh,geliehen,,,
Ia,meiden,mied,gemieden,mithe,,
Ia,preisen,pries,gepriesen,,,
Ia,reiben,rieb,gerieben,ribald,,
Ia,reihen,rieh,geriehen,,,
Ia,scheiden,schied,geschieden,shed,shed,shed
Ia,scheinen,schien,geschienen,shine,shone,shone
Ia,schneien,schnie,geschnien,,,
Ia,schreiben,schrieb,geschrieben,shrive,,
Ia,schreien,schrie,geschrien,scream,,
Ia,schreien,schrie,geschrien,screech,,
Ia,schweigen,schwieg,geschwiegen,,,
Ia,speien,spie,gespien,spew,,
Ia,speisen,spies,gespiesen,,,
Ia,steigen,stieg,gestiegen,sty,,
Ia,treiben,trieb,getrieben,drive,drove,driven
Ia,weisen,wies,gewiesen,visit,,
Ia,weisen,wies,gewiesen,wise,,
Ia,zeihen,zieh,geziehen,toe,,
Ib,beißen,biss,gebissen,bite,bit,bitten
Ib,bleichen,blich,geblichen,bleach,,
Ib,gleichen,glich,geglichen,like,,
Ib,gleiten,glitt,geglitten,glide,,
Ib,greifen,griff,gegriffen,gripe,,
Ib,keifen,kiff,gekiffen,,,
Ib,kneifen,kniff,gekniffen,,,
Ib,kneipen,knipp,geknippen,nip,,
Ib,kreißen,kriss,gekrissen,cry,,
Ib,kröschen,krisch,gekrischen,,,
Ib,leiden,litt,gelitten,lithe,,
Ib,leiden,litt,gelitten,loath,,
Ib,pfeifen,pfiff,gepfiffen,,,
Ib,reißen,riss,gerissen,rat,,
Ib,reißen,riss,gerissen,write,wrote,written
Ib,reiten,ritt,geritten,ride,rode,ridden
Ib,scheißen,schiss,geschissen,shit,"shit, shitted, shat","shit, shitted, shat"
Ib,scheißen,schiss,geschissen,shite,,
Ib,schleichen,schlich,geschlichen,slink,slunk,slunk
Ib,schleichen,schlich,geschlichen,sleek,,
Ib,schleichen,schlich,geschlichen,slike,,
Ib,schleifen,schliff,geschliffen,,,
Ib,schleißen,schliss,geschlissen,slice,,
Ib,schleißen,schliss,geschlissen,slite,,
Ib,schmeißen,schmiss,geschmissen,smite,smote,smitten
Ib,schneiden,schnitt,geschnitten,snithe,,
Ib,schreiten,schritt,geschritten,shrithe,,
Ib,spleißen,spliss,gesplissen,split,split,split
Ib,spleißen,spliss,gesplissen,splice,,
